"EDIT","EMPLOYEE_ID","START_DATE","END_DATE","JOB_ID","DEPARTMENT_ID"
"
","102","13-JAN-93","24-JUL-98","IT_PROG","60"
"
","101","21-SEP-89","27-OCT-93","AC_ACCOUNT","110"
"
","101","28-OCT-93","15-MAR-97","AC_MGR","110"
"
","201","17-FEB-96","19-DEC-99","MK_REP","20"
"
","114","24-MAR-98","31-DEC-99","ST_CLERK","50"
"
","122","01-JAN-99","31-DEC-99","ST_CLERK","50"
"
","200","17-SEP-87","17-JUN-93","AD_ASST","90"
"
","176","24-MAR-98","31-DEC-98","SA_REP","80"
"
","176","01-JAN-99","31-DEC-99","SA_MAN","80"
"
","200","01-JUL-94","31-DEC-98","AC_ACCOUNT","90"
